Category,Item,Status,Priority,Notes
📄 证件财务,护照 & 护照复印件,未准备,必带,检查有效期
📄 证件财务,驾照原件 & 翻译件,未准备,必带,租车取车必需
📄 证件财务,银行卡 (Visa/Mastercard),未准备,必带,刷卡与紧急使用
📄 证件财务,少量美金现金,未准备,必带,小费与停车
🤿 海滩装备,Reef-Safe 环保防晒霜,未准备,必带,夏威夷规定环保防晒
🤿 海滩装备,泳衣 / 冲浪服,未准备,高,多准备2套
🤿 海滩装备,浮潜面镜 & 咬嘴,未准备,高,恐龙湾浮潜
🤿 海滩装备,防滑涉水鞋,未准备,高,火山岩防刮脚
🤿 海滩装备,手机防水袋 & 速干海滩巾,未准备,中,下海拍照
👕 服饰配件,夏日服装 & 出片长裙,未准备,高,拍照打卡
👕 服饰配件,轻薄外套 / 防晒衣,未准备,高,室内与车内空调强
👕 服饰配件,太阳镜 & 遮阳帽,未准备,高,防晒
👕 服饰配件,徒步运动鞋,未准备,高,钻石山与牧场徒步
🎁 限定买单,ABC Store 夏威夷黑皮 Hello Kitty,未买,想要,寻找限定玩偶
🎁 限定买单,Dole 菠萝园菠萝限定 Kitty,未买,想要,菠萝园纪念品店
🎁 限定买单,Snoopy's Surf Shop 周边,未买,想要,北岸冲浪史努比
🎁 限定买单,Honolulu Cookie 铁盒曲奇,未买,想要,伴手礼
